lambda,rep,congestion_prom,congestion_freq,montevideo_prom,montevideo_freq,rio_prom,rio_freq,tormenta_prom,tormenta_freq,atraso_prom
0.02,0,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,1,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,2,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,3,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,4,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,5,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,6,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,7,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,8,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,9,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,10,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,11,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,12,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,13,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,14,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,15,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,16,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,17,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,18,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,19,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,20,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,21,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,22,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,23,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,24,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,25,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,26,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,27,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,28,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,29,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,30,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,31,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,32,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,33,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,34,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,35,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,36,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,37,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,38,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,39,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,40,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,41,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,42,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,43,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,44,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,45,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,46,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,47,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,48,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,49,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.1,0,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,1,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,2,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,3,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,4,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,5,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,6,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,7,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,8,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,9,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,10,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,11,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,12,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,13,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,14,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,15,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,16,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,17,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,18,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,19,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,20,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,21,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,22,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,23,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,24,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,25,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,26,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,27,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,28,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,29,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,30,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,31,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,32,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,33,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,34,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,35,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,36,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,37,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,38,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,39,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,40,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,41,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,42,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,43,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,44,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,45,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,46,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,47,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,48,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,49,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.2,0,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,1,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,2,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,3,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,4,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,5,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,6,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,7,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,8,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,9,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,10,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,11,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,12,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,13,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,14,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,15,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,16,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,17,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,18,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,19,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,20,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,21,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,22,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,23,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,24,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,25,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
